type,question,answer,frequently_answer,,,
9天后是否收费,学完/上完9天课之后要钱么？,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,九天后再上课是不是就要钱了，对吧,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,后面是不是要交两千多块去啊,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,那9天后就要收费是吗？,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,后期是不是收费,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
9天后是否收费,免学费一期，那第二期是要钱吗,这9天是免费的，我们后面有收费的课，你可以根据你自己的情况，决定要不要报名学习，你自己决定，现在是免费课，先听免费的，之后的课你自己再决定就好,1,,,
不识字,认识字少的很,我们是通过线上课来学习，有很多文字分享内容，您如果识字不多学习上可能比较吃力，您可以根据自己情况决定是否学习,0,,,
不识字,我不认识字,我们是通过线上课来学习，有很多文字分享内容，您如果识字不多学习上可能比较吃力，您可以根据自己情况决定是否学习,0,,,
不识字,我不识字能学吗,我们是通过线上课来学习，有很多文字分享内容，您如果识字不多学习上可能比较吃力，您可以根据自己情况决定是否学习,0,,,
电话信息,你们是怎么知道我的电话的？,同学，老师不知道你的电话哈，是你这边自己报名以后，我们系统显示你报名成功的，我这边只能看到你的微信名字看不到具体电话,0,,,
电话信息,你们怎么得到我的信息的？,同学，老师不知道你的电话哈，是你这边自己报名以后，我们系统显示你报名成功的，我这边只能看到你的微信名字看不到具体电话,0,,,
电脑上课,要用到电脑吗,不用的哈,0,,,
电脑上课,电脑不可以进吗,电脑不可以上课哦，只能用手机或者平板,1,,,
电脑上课,电脑能上课么,电脑不可以上课哦，只能用手机或者平板,1,,,
电脑上课,电脑上可以听吗,电脑不可以上课哦，只能用手机或者平板,1,,,
电脑上课,可以用电脑上课吗？,电脑不可以上课哦，只能用手机或者平板,1,,,
电脑上课,为什么电脑看不了啊,电脑不可以上课哦，只能用手机或者平板,1,,,
电脑上课,电脑为什么不能看？,同学，不好意思哈，咱们的课程直播只能用用手机和平板观看哈，电脑端口是我们班主任用来监课的哈,0,,,
电脑上课,为啥电脑的微信不能看,同学，不好意思哈，咱们的课程直播只能用用手机和平板观看哈，电脑端口是我们班主任用来监课的哈,0,,,
二次上门,你好老师，我原来听过启牛学堂的课，比如梁老师讲的，这次和以前讲的一样吗？,同学我不太清楚您之前什么时候学过的，但是您可以听听我们这次的课程，本次讲课会干货实操多一点，您可以把时间安排好,0,,,
发货时间,什么时候邮寄,咱们同学，咱们按时上完第一课，第二天就可以登记地址，坚持学习就会免费包邮到家的,0,,,
发货时间,书籍什么时间发给我,准时参加第一节课，第二天我会统一收集地址，到时候安排免费邮寄,0,,,
放弃福利,不要哪个书籍可以吗,可以的，那咱可以准时听课吗？,1,,,
放弃福利,那老师你发的这个书我没有啊,可以的，那咱可以准时听课吗？,1,,,
放弃福利,书我有了，不用发了,可以的，那咱可以准时听课吗？,1,,,
放弃福利,这个书我不要了,可以的，那咱可以准时听课吗？,1,,,
费用,要邮费吗？,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,这书籍要钱吗？,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,你们包邮，免费邮？,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,收邮费么/要钱么？需要花钱么,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,是免费邮寄么,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,实物是免邮的，还是要付邮,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,资料包运费吗,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,老师包邮到家的两本纸质理财手册收钱吗？,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,书籍要钱了吗？,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,老师邮寄书籍需要多少钱,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,可以上课，书籍是包邮的吗？还是到付的,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,包邮到家的理财书吗,书是免费赠送的，并免费包邮到家的哈,1,,,
费用,下午5点上班到零晨1点半，其它时间可以考虑，需要交钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,我在网上查上俩三节课之后就收2000多块，你会这样吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,期间有额外收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要费用吗？？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要收学费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,我听我朋友说，听这个中间，还要交钱的，是真的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,就是说9天后收费，是这个意思么？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,不收取任何费用吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,我花多少钱？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,真的免费么,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,可以免费学懂吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你好，听课后，收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书籍本身要收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,上课要收费的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,不要钱吧,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要钱么,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,免费的，视频吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要钱不,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,需要费用吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,需要交钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,好的书要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,老师，资料要钱买吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你说的是真的吗，是不还要交钱,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,需要什么费用吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,需要交学费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,资料收钱么,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,真的不要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你们不是免费送书吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书是免费送的吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,领书是免费的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,都是免费的么？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书籍是免费的吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你不会收我任何费用吧,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是不是不用费用的吧,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,听完了是不是要钱,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,这是免费的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,真是全免费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,这个是免费的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,不是免费送吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,免费学习，还要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,领书要付费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你这课程是免费的还是要付款,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你这课要钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是不是收费呀,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是免费的还是出钱的,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,为什么理财，还要报名费那有免费的午餐,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,我们不出费吧？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要交钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,这个要钱的吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,之后还要交费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,不收费吧,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要交多少钱,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,不要钱，对吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,不要钱的嘛？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,还需要另外交钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是不是要交钱,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书籍要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,这个需要多少钱呢,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,哦花钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,这是多少钱报的？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,我就是不知道是真是假免费学习吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,免费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,扣费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是真正的免费教程吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,课程收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,课程要钱吗?,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,课程要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你这个要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,真的免费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要学费不,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,参加就要交学费了，想学实操要交钱吧,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,白听吗？收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你们这个一套学下来要多少钱？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是不是很贵？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要收费，，吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,用不用投钱？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是免费领取书吗不会要钱吧,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,请问老师，领书是免费的吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,需要收费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要不要钱,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,过几天会要钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,好，要交费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,后面会收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,会不会要钱,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,礼包要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要多少钱,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,如果是要钱我就不上了,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,尊敬的老师，光听课不交学费是不会给我资料的,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,收邮费么/要钱么？需要花钱么,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,1
费用,报名费多少钱呢？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,如果是付钱我就拉黑,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,可以，全程不收费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,己听，老师请问下资料要付費吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,另收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,什么时候需要交学费？学完后用不用交？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,总不会什么都免费吧，后期会不会有收费？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,还需要我交什么费用吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,是免费的吧老师,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,老师，书也是免费发的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,上课需要另外收费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,收费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,上课需要收费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,还须要钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,来听你的课，要不要钱的呢,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,收钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书籍免费发送吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,我没什么钱可以吗？要学费吗老师？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,需要多少钱呢,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要收费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,用钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,后续要收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,请问要收学费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,参加学习要交费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,理财要钱吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你免费的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,哦，对了你说的什么书籍须要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,上课之前要交学费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你发的资料要费用吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,交学费是以后不是现在因为我没工作没工资,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,确定什么免费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书籍收费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书要缴费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要收费用吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要书本费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,要学费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,在，邮书集还要钱吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,真的不要钱吗？我已经被骗怕了,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,免费的吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,你们教这么久的课，结束了我们交多少钱？中途会叫我们买产品吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,说是免费寄的吗？你不会中间有套路又要钱吧？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
费用,书籍另收费吗,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,1,,,
福利,我都不相信能领到书，上期我己经学完了，书也没给我发过来呀,领书需要登记地址并且连续听课五到六天同学，书肯定能领到,0,,,
福利,我现在不在家，最近两个月帮别人点忙，资料能不能邮寄到我现在的地方,你到时候填你现在的地址，资料就会有寄过去,0,,,
福利,邮寄书不需要我的地址吗？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,邮寄书籍地址要给您吗？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,我的工作不一定什么时候下班，先领书看看吧,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,那个什么预订免费手册什么回事，老师,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,如何领书,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,书籍什么时候发呢,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,送的资料要钱的吗？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,我的学习资料什么时候发给我啊,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,学习资料什么时候发给我啊,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,怎么领书啊老师,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,纸质书籍什么时候发呢,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,老师答题完成了怎么领奖励和书籍呢,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,需要我填收货地址么,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,地址都没有咋寄书,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,加上了吧，邮书把地址发给你吗？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,领礼包吗？怎么领？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,填写地址,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,卫国老师是不是要写地址啊？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,先发个地址，是吗？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,上完了，有福利是么,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
福利,不是有免费理财书发吗,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1,,,
